시험명,시험일시,시작 시간,종료 시간,비고
TOEIC,2024-12-15,09:20,12:20,"정기접수 : 2024.10.28 (월) 오전 10시~2024.12.02 (월) 오전 10시 특별추가 : 2024.12.04 (수) 오전 10시~2024.12.12 (목) 오후 1시"
TOEIC,2024-12-29,09:20,12:20,"정기접수 : 2024.11.11 (월) 오전 10시~2024.12.16 (월) 오전 10시 특별추가 : 2024.12.18 (수) 오전 10시~2024.12.26 (목) 오후 1시"
TOEIC,2025-01-12,09:20,12:20,"정기접수 : 2024.11.25 (월) 오전 10시~2024.12.30 (월) 오전 10시 특별추가 : 2025.01.01 (수) 오전 10시~2025.01.09 (목) 오후 1시"
TOEIC,2024-01-26,09:20,12:20,"정기접수 : 2024.12.09 (월) 오전 10시~2025.01.13 (월) 오전 10시 특별추가 : 2025.01.15 (수) 오전 10시~2025.01.23 (목) 오후 1시"
TOEIC,2025-02-09,09:20,12:20,"정기접수 : 2024.12.23 (월) 오전 10시~2025.01.27 (월) 오전 10시 특별추가 : 2025.01.29 (수) 오전 10시~2025.02.06 (목) 오후 1시"
TOEIC,2025-02-15,09:20,12:20,"정기접수 : 2024.12.30 (월) 오전 10시~2025.02.03 (월) 오전 10시 특별추가 : 2025.02.05 (수) 오전 10시~2025.02.12 (수) 오후 1시"
TOEIC,2025-02-23,09:20,12:20,"정기접수 : 2025.01.06 (월) 오전 10시~2025.02.10 (월) 오전 10시 특별추가 : 2025.02.12 (수) 오전 10시~2025.02.20 (목) 오후 1시"
TOEIC,2025-03-09,09:20,12:20,"정기접수 : 2025.01.20 (월) 오전 10시~2025.02.24 (월) 오전 10시 특별추가 : 2025.02.26 (수) 오전 10시~2025.03.06 (목) 오후 1시"
TOEIC,2025-03-30,09:20,12:20,"정기접수 : 2025.02.10 (월) 오전 10시~2025.03.17 (월) 오전 10시 특별추가 : 2025.03.19 (수) 오전 10시~2025.03.27 (목) 오후 1시"
TOEIC,2025-04-13,09:20,12:20,"정기접수 : 2025.02.24 (월) 오전 10시~2025.03.31 (월) 오전 10시 특별추가 : 2025.04.02 (수) 오전 10시~2025.04.10 (목) 오후 1시"
TOEIC,2025-04-27,09:20,12:20,"정기접수 : 2025.03.10 (월) 오전 10시~2025.04.14 (월) 오전 10시 특별추가 : 2025.04.16 (수) 오전 10시~2025.04.24 (목) 오후 1시"
TOEIC,2025-05-11,09:20,12:20,"정기접수 : 2025.03.24 (월) 오전 10시~2025.04.28 (월) 오전 10시 특별추가 : 2025.04.30 (수) 오전 10시~2025.05.08 (목) 오후 1시"
TOEIC,2025-05-31,09:20,12:20,"정기접수 : 2025.04.14 (월) 오전 10시~2025.05.19 (월) 오전 10시 특별추가 : 2025.05.21 (수) 오전 10시~2025.05.28 (수) 오후 1시"
TOEIC,2025-06-15,09:20,12:20,"정기접수 : 2025.04.28 (월) 오전 10시~2025.06.02 (월) 오전 10시 특별추가 : 2025.06.04 (수) 오전 10시~2025.06.12 (목) 오후 1시"
TOEIC,2025-06-29,09:20,12:20,"정기접수 : 2025.05.12 (월) 오전 10시~2025.06.16 (월) 오전 10시 특별추가 : 2025.06.18 (수) 오전 10시~2025.06.26 (목) 오후 1시"
TOEIC,2025-07-13,09:20,12:20,"정기접수 : 2025.05.26 (월) 오전 10시~2025.06.30 (월) 오전 10시 특별추가 : 2025.07.02 (수) 오전 10시~2025.07.10 (목) 오후 1시"
TOEIC,2025-07-27,09:20,12:20,"정기접수 : 2025.06.09 (월) 오전 10시~2025.07.14 (월) 오전 10시 특별추가 : 2025.07.16 (수) 오전 10시~2025.07.24 (목) 오후 1시"
TOEIC,2025-08-10,09:20,12:20,"정기접수 : 2025.06.23 (월) 오전 10시~2025.07.28 (월) 오전 10시 특별추가 : 2025.07.30 (수) 오전 10시~2025.08.07 (목) 오후 1시"
TOEIC,2025-08-24,09:20,12:20,"정기접수 : 2025.07.07 (월) 오전 10시~2025.08.11 (월) 오전 10시 특별추가 : 2025.08.13 (수) 오전 10시~2025.08.21 (목) 오후 1시"
TOEIC,2025-08-31,09:20,12:20,"정기접수 : 2025.07.14 (월) 오전 10시~2025.08.18 (월) 오전 10시 특별추가 : 2025.08.20 (수) 오전 10시~2025.08.28 (목) 오후 1시"
TOEIC,2025-09-14,09:20,12:20,"정기접수 : 2025.07.28 (월) 오전 10시~2025.09.01 (월) 오전 10시 특별추가 : 2025.09.03 (수) 오전 10시~2025.09.11 (목) 오후 1시"
TOEIC,2025-09-28,09:20,12:20,"정기접수 : 2025.08.11 (월) 오전 10시~2025.09.15 (월) 오전 10시 특별추가 : 2025.09.17 (수) 오전 10시~2025.09.25 (목) 오후 1시"
TOEIC,2025-10-18,09:20,12:20,"정기접수 : 2025.09.01 (월) 오전 10시~2025.10.06 (월) 오전 10시 특별추가 : 2025.10.08 (수) 오전 10시~2025.10.15 (수) 오후 1시"
TOEIC,2025-10-26,09:20,12:20,"정기접수 : 2025.09.08 (월) 오전 10시~2025.10.13 (월) 오전 10시 특별추가 : 2025.10.15 (수) 오전 10시~2025.10.23 (목) 오후 1시"
TOEIC,2025-11-09,09:20,12:20,"정기접수 : 2025.09.22 (월) 오전 10시~2025.10.27 (월) 오전 10시 특별추가 : 2025.10.29 (수) 오전 10시~2025.11.06 (목) 오후 1시"
TOEIC,2025-11-30,09:20,12:20,"정기접수 : 2025.10.13 (월) 오전 10시~2025.11.17 (월) 오전 10시 특별추가 : 2025.11.19 (수) 오전 10시~2025.11.27 (목) 오후 1시"
TOEIC,2025-12-07,09:20,12:20,"정기접수 : 2025.10.20 (월) 오전 10시~2025.11.24 (월) 오전 10시 특별추가 : 2025.11.26 (수) 오전 10시~2025.12.04 (목) 오후 1시"
TOEIC,2025-12-28,09:20,12:20,"정기접수 : 2025.11.10 (월) 오전 10시~2025.12.15 (월) 오전 10시 특별추가 : 2025.12.17 (수) 오전 10시~2025.12.24 (수) 오후 1시"
JLPT,2024-07-07,13:10,00:00,"온라인접수: 4월 1일 (월) 09:30 ~ 4월 21일 (일) 23:59 추가 접수: 4월 29일 (월) 09:30 ~ 5월 5일 (일) 23:59"
JLPT,2024-12-01,13:10,00:00,"온라인접수: 9월 1일 (일) 09:00 ~ 9월 22일 (일) 23:59 추가접수: 9월 30일 (월) 10:00 ~ 10월 6일 (일) 23:59"
HSK,2024-12-08,00:00,00:00,"접수기간 10월 25일 (금) ~ 11월 28일 (목)"
HSK,2024-01-12,00:00,00:00,"접수기간 11월 29일 (금) ~ 1월 2일 (목)"
HSK,2025-02-16,00:00,00:00,"접수기간 1월 2일 (목) ~ 2월 6일 (목)"
HSK,2025-03-22,00:00,00:00,"접수기간 2월 6일 (목) ~ 3월 12일 (수)"
HSK,2025-04-12,00:00,00:00,"접수기간 2월 27일 (목) ~ 4월 2일 (수)"
HSK,2025-05-17,00:00,00:00,"접수기간 4월 3일 (목) ~ 5월 7일 (수)"
HSK,2025-06-22,00:00,00:00,"접수기간 5월 9일 (금) ~ 6월 12일 (목)"
HSK,2025-07-19,12:00,00:00,"접수기간 6월 5일 (목) ~ 7월 9일 (수)"
HSK,2025-08-17,00:00,00:00,"접수기간 7월 4일 (금) ~ 8월 7일 (목)"
HSK,2025-09-07,00:00,00:00,"접수기간 7월 25일 (금) ~ 8월 28일 (목)"
HSK,2025-10-18,00:00,00:00,"접수기간 9월 4일 (목) ~ 10월 8일 (수)"
HSK,2025-11-15,00:00,00:00,"접수기간 10월 2일 (목) ~ 11월 5일 (수)"
HSK,2025-12-07,00:00,00:00,"접수기간 10월 24일 (금) ~ 11월 27일 (목)"
